: error 482.133671, percentage 3.44%
Classifier[24] iteration 5362: error 480.232235, percentage 3.43%
Classifier[24] iteration 5363: error 480.231309, percentage 3.43%
Classifier[24] iteration 5364: error 480.230383, percentage 3.43%
Classifier[24] iteration 5365: error 480.229458, percentage 3.43%
Classifier[24] iteration 5366: error 480.228534, percentage 3.43%
Classifier[24] iteration 5367: error 480.227611, percentage 3.43%
Classifier[24] iteration 5368: error 480.226688, percentage 3.43%
Classifier[24] iteration 5369: error 480.225766, percentage 3.43%
Classifier[24] iteration 5370: error 480.224845, percentage 3.43%
Classifier[24] iteration 5371: error 480.223924, percentage 3.43%
Classifier[24] iteration 5372: error 480.223004, percentage 3.43%
Classifier[24] iteration 5373: error 480.222084, percentage 3.43%
Classifier[24] iteration 5374: error 480.221165, percentage 3.43%
Classifier[24] iteration 5375: error 480.220247, percentage 3.43%
Classifier[24] iteration 5376: error 480.219330, percentage 3.43%
Classifier[24] iteration 5377: error 480.218413, percentage 3.43%
Classifier[24] iteration 5378: error 480.217496, percentage 3.43%
Classifier[24] iteration 5379: error 480.216581, percentage 3.43%
Classifier[24] iteration 5380: error 480.215666, percentage 3.43%
Classifier[24] iteration 5381: error 480.214751, percentage 3.43%
Classifier[24] iteration 5382: error 480.213838, percentage 3.43%
Classifier[24] iteration 5383: error 480.212925, percentage 3.43%
Classifier[24] iteration 5384: error 480.212012, percentage 3.43%
Classifier[24] iteration 5385: error 480.211101, percentage 3.43%
Classifier[24] iteration 5386: error 480.210189, percentage 3.43%
Classifier[24] iteration 5387: error 480.209279, percentage 3.43%
Classifier[24] iteration 5388: error 480.208369, percentage 3.43%
Classifier[24] iteration 5389: error 480.207460, percentage 3.43%
Classifier[24] iteration 5390: error 480.206551, percentage 3.43%
Classifier[24] iteration 5391: error 480.205644, percentage 3.43%
Classifier[24] iteration 5392: error 480.204736, percentage 3.43%
Classifier[24] iteration 5393: error 480.203830, percentage 3.43%
Classifier[24] iteration 5394: error 480.202924, percentage 3.43%
Classifier[24] iteration 5395: error 480.202018, percentage 3.43%
Classifier[24] iteration 5396: error 480.201114, percentage 3.43%
Classifier[24] iteration 5397: error 480.200209, percentage 3.43%
Classifier[24] iteration 5398: error 480.199306, percentage 3.43%
Classifier[24] iteration 5399: error 480.198403, percentage 3.43%
Classifier[24] iteration 5400: error 480.197501, percentage 3.43%
Classifier[24] iteration 5401: error 480.196600, percentage 3.43%
Classifier[24] iteration 5402: error 480.195699, percentage 3.43%
Classifier[24] iteration 5403: error 480.194798, percentage 3.43%
Classifier[24] iteration 5404: error 480.193899, percentage 3.43%
Classifier[24] iteration 5405: error 480.193000, percentage 3.43%
Classifier[24] iteration 5406: error 480.192101, percentage 3.43%
Classifier[24] iteration 5407: error 480.191204, percentage 3.43%
Classifier[24] iteration 5408: error 480.190307, percentage 3.43%
Classifier[24] iteration 5409: error 480.189410, percentage 3.43%
Classifier[24] iteration 5410: error 480.188514, percentage 3.43%
Classifier[24] iteration 5411: error 480.187619, percentage 3.43%
Classifier[24] iteration 5412: error 480.186725, percentage 3.43%
Classifier[24] iteration 5413: error 480.185831, percentage 3.43%
Classifier[24] iteration 5414: error 480.184937, percentage 3.43%
Classifier[24] iteration 5415: error 480.184045, percentage 3.43%
Classifier[24] iteration 5416: error 480.183153, percentage 3.43%
Classifier[24] iteration 5417: error 480.182261, percentage 3.43%
Classifier[24] iteration 5418: error 480.181370, percentage 3.43%
Classifier[24] iteration 5419: error 480.180480, percentage 3.43%
Classifier[24] iteration 5420: error 480.179591, percentage 3.43%
Classifier[24] iteration 5421: error 480.178702, percentage 3.43%
Classifier[24] iteration 5422: error 480.177813, percentage 3.43%
Classifier[24] iteration 5423: error 480.176926, percentage 3.43%
Classifier[24] iteration 5424: error 480.176039, percentage 3.43%
Classifier[24] iteration 5425: error 480.175152, percentage 3.43%
Classifier[24] iteration 5426: error 480.174266, percentage 3.43%
Classifier[24] iteration 5427: error 480.173381, percentage 3.43%
Classifier[24] iteration 5428: error 480.172497, percentage 3.43%
Classifier[24] iteration 5429: error 480.171613, percentage 3.43%
Classifier[24] iteration 5430: error 480.170729, percentage 3.43%
Classifier[24] iteration 5431: error 480.169847, percentage 3.43%
Classifier[24] iteration 5432: error 480.168965, percentage 3.43%
Classifier[24] iteration 5433: error 480.168083, percentage 3.43%
Classifier[24] iteration 5434: error 480.167202, percentage 3.43%
Classifier[24] iteration 5435: error 480.166322, percentage 3.43%
Classifier[24] iteration 5436: error 480.165443, percentage 3.43%
Classifier[24] iteration 5437: error 480.164564, percentage 3.43%
Classifier[24] iteration 5438: error 480.163685, percentage 3.43%
Classifier[24] iteration 5439: error 480.162808, percentage 3.43%
Classifier[24] iteration 5440: error 480.161930, percentage 3.43%
Classifier[24] iteration 5441: error 480.161054, percentage 3.43%
Classifier[24] iteration 5442: error 480.160178, percentage 3.43%
Classifier[24] iteration 5443: error 480.159303, percentage 3.43%
Classifier[24] iteration 5444: error 480.158428, percentage 3.43%
Classifier[24] iteration 5445: error 480.157554, percentage 3.43%
Classifier[24] iteration 5446: error 480.156681, percentage 3.43%
Classifier[24] iteration 5447: error 480.155808, percentage 3.43%
Classifier[24] iteration 5448: error 480.154936, percentage 3.43%
Classifier[24] iteration 5449: error 480.154064, percentage 3.43%
Classifier[24] iteration 5450: error 480.153193, percentage 3.43%
Classifier[24] iteration 5451: error 480.152323, percentage 3.43%
Classifier[24] iteration 5452: error 480.151453, percentage 3.43%
Classifier[24] iteration 5453: error 480.150584, percentage 3.43%
Classifier[24] iteration 5454: error 480.149715, percentage 3.43%
Classifier[24] iteration 5455: error 480.148847, percentage 3.43%
Classifier[24] iteration 5456: error 480.147980, percentage 3.43%
Classifier[24] iteration 5457: error 480.147113, percentage 3.43%
Classifier[24] iteration 5458: error 480.146247, percentage 3.43%
Classifier[24] iteration 5459: error 480.145382, percentage 3.43%
Classifier[24] iteration 5460: error 480.144517, percentage 3.43%
Classifier[24] iteration 5461: error 480.143653, percentage 3.43%
Classifier[24] iteration 5462: error 480.142789, percentage 3.43%
Classifier[24] iteration 5463: error 480.141926, percentage 3.43%
Classifier[24] iteration 5464: error 480.141064, percentage 3.43%
Classifier[24] iteration 5465: error 480.140202, percentage 3.43%
Classifier[24] iteration 5466: error 480.139340, percentage 3.43%
Classifier[24] iteration 5467: error 480.138480, percentage 3.43%
Classifier[24] iteration 5468: error 480.137620, percentage 3.43%
Classifier[24] iteration 5469: error 480.136760, percentage 3.43%
Classifier[24] iteration 5470: error 480.135901, percentage 3.43%
Classifier[24] iteration 5471: error 480.135043, percentage 3.43%
Classifier[24] iteration 5472: error 480.134186, percentage 3.43%
Classifier[24] iteration 5473: error 480.133329, percentage 3.43%
Classifier[24] iteration 5474: error 480.132472, percentage 3.43%
Classifier[24] iteration 5475: error 480.131616, percentage 3.43%
Classifier[24] iteration 5476: error 480.130761, percentage 3.43%
Classifier[24] iteration 5477: error 480.129907, percentage 3.43%
Classifier[24] iteration 5478: error 480.129053, percentage 3.43%
Classifier[24] iteration 5479: error 480.128199, percentage 3.43%
Classifier[24] iteration 5480: error 480.127346, percentage 3.43%
Classifier[24] iteration 5481: error 480.126494, percentage 3.43%
Classifier[24] iteration 5482: error 480.125642, percentage 3.43%
Classifier[24] iteration 5483: error 480.124791, percentage 3.43%
Classifier[24] iteration 5484: error 480.123941, percentage 3.43%
Classifier[24] iteration 5485: error 480.123091, percentage 3.43%
Classifier[24] iteration 5486: error 480.122242, percentage 3.43%
Classifier[24] iteration 5487: error 480.121393, percentage 3.43%
Classifier[24] iteration 5488: error 480.120545, percentage 3.43%
Classifier[24] iteration 5489: error 480.119698, percentage 3.43%
Classifier[24] iteration 5490: error 480.118851, percentage 3.43%
Classifier[24] iteration 5491: error 480.118005, percentage 3.43%
Classifier[24] iteration 5492: error 480.117159, percentage 3.43%
Classifier[24] iteration 5493: error 480.116314, percentage 3.43%
Classifier[24] iteration 5494: error 480.115469, percentage 3.43%
Classifier[24] iteration 5495: error 480.114625, percentage 3.43%
Classifier[24] iteration 5496: error 480.113782, percentage 3.43%
Classifier[24] iteration 5497: error 480.112939, percentage 3.43%
Classifier[24] iteration 5498: error 480.112097, percentage 3.43%
Classifier[24] iteration 5499: error 480.111256, percentage 3.43%
Classifier[24] iteration 5500: error 480.110415, percentage 3.43%
Classifier[24] iteration 5501: error 480.109574, percentage 3.43%
Classifier[24] iteration 5502: error 480.108735, percentage 3.43%
Classifier[24] iteration 5503: error 480.107896, percentage 3.43%
Classifier[24] iteration 5504: error 480.107057, percentage 3.43%
Classifier[24] iteration 5505: error 480.106219, percentage 3.43%
Classifier[24] iteration 5506: error 480.105382, percentage 3.43%
Classifier[24] iteration 5507: error 480.104545, percentage 3.43%
Classifier[24] iteration 5508: error 480.103708, percentage 3.43%
Classifier[24] iteration 5509: error 480.102873, percentage 3.43%
Classifier[24] iteration 5510: error 480.102038, percentage 3.43%
Classifier[24] iteration 5511: error 480.101203, percentage 3.43%
Classifier[24] iteration 5512: error 480.100369, percentage 3.43%
Classifier[24] iteration 5513: error 480.099536, percentage 3.43%
Classifier[24] iteration 5514: error 480.098703, percentage 3.43%
Classifier[24] iteration 5515: error 480.097871, percentage 3.43%
Classifier[24] iteration 5516: error 480.097039, percentage 3.43%
Classifier[24] iteration 5517: error 480.096209, percentage 3.43%
Classifier[24] iteration 5518: error 480.095378, percentage 3.43%
Classifier[24] iteration 5519: error 480.094548, percentage 3.43%
Classifier[24] iteration 5520: error 480.093719, percentage 3.43%
Classifier[24] iteration 5521: error 480.092890, percentage 3.43%
Classifier[24] iteration 5522: error 480.092062, percentage 3.43%
Classifier[24] iteration 5523: error 480.091235, percentage 3.43%
Classifier[24] iteration 5524: error 480.090408, percentage 3.43%
Classifier[24] iteration 5525: error 480.089581, percentage 3.43%
Classifier[24] iteration 5526: error 480.088756, percentage 3.43%
Classifier[24] iteration 5527: error 480.087930, percentage 3.43%
Classifier[24] iteration 5528: error 480.087106, percentage 3.43%
Classifier[24] iteration 5529: error 480.086282, percentage 3.43%
Classifier[24] iteration 5530: error 480.085458, percentage 3.43%
Classifier[24] iteration 5531: error 480.084635, percentage 3.43%
Classifier[24] iteration 5532: error 480.083813, percentage 3.43%
Classifier[24] iteration 5533: error 480.082991, percentage 3.43%
Classifier[24] iteration 5534: error 480.082170, percentage 3.43%
Classifier[24] iteration 5535: error 480.081350, percentage 3.43%
Classifier[24] iteration 5536: error 480.080530, percentage 3.43%
Classifier[24] iteration 5537: error 480.079710, percentage 3.43%
Classifier[24] iteration 5538: error 480.078891, percentage 3.43%
Classifier[24] iteration 5539: error 480.078073, percentage 3.43%
Classifier[24] iteration 5540: error 480.077255, percentage 3.43%
Classifier[24] iteration 5541: error 480.076438, percentage 3.43%
Classifier[24] iteration 5542: error 480.075622, percentage 3.43%
Classifier[24] iteration 5543: error 480.074805, percentage 3.43%
Classifier[24] iteration 5544: error 480.073990, percentage 3.43%
Classifier[24] iteration 5545: error 480.073175, percentage 3.43%
Classifier[24] iteration 5546: error 480.072361, percentage 3.43%
Classifier[24] iteration 5547: error 480.071547, percentage 3.43%
Classifier[24] iteration 5548: error 480.070734, percentage 3.43%
Classifier[24] iteration 5549: error 480.069921, percentage 3.43%
Classifier[24] iteration 5550: error 480.069109, percentage 3.43%
Classifier[24] iteration 5551: error 480.068298, percentage 3.43%
Classifier[24] iteration 5552: error 480.067487, percentage 3.43%
Classifier[24] iteration 5553: error 480.066677, percentage 3.43%
Classifier[24] iteration 5554: error 480.065867, percentage 3.43%
Classifier[24] iteration 5555: error 480.065058, percentage 3.43%
Classifier[24] iteration 5556: error 480.064249, percentage 3.43%
Classifier[24] iteration 5557: error 480.063441, percentage 3.43%
Classifier[24] iteration 5558: error 480.062633, percentage 3.43%
Classifier[24] iteration 5559: error 480.061826, percentage 3.43%
Classifier[24] iteration 5560: error 480.061020, percentage 3.43%
Classifier[24] iteration 5561: error 480.060214, percentage 3.43%
Classifier[24] iteration 5562: error 480.059409, percentage 3.43%
Classifier[24] iteration 5563: error 480.058604, percentage 3.43%
Classifier[24] iteration 5564: error 480.057800, percentage 3.43%
Classifier[24] iteration 5565: error 480.056997, percentage 3.43%
Classifier[24] iteration 5566: error 480.056194, percentage 3.43%
Classifier[24] iteration 5567: error 480.055391, percentage 3.43%
Classifier[24] iteration 5568: error 480.054589, percentage 3.43%
Classifier[24] iteration 5569: error 480.053788, percentage 3.43%
Classifier[24] iteration 5570: error 480.052987, percentage 3.43%
Classifier[24] iteration 5571: error 480.052187, percentage 3.43%
Classifier[24] iteration 5572: error 480.051387, percentage 3.43%
Classifier[24] iteration 5573: error 480.050588, percentage 3.43%
Classifier[24] iteration 5574: error 480.049790, percentage 3.43%
Classifier[24] iteration 5575: error 480.048992, percentage 3.43%
Classifier[24] iteration 5576: error 480.048194, percentage 3.43%
Classifier[24] iteration 5577: error 480.047397, percentage 3.43%
Classifier[24] iteration 5578: error 480.046601, percentage 3.43%
Classifier[24] iteration 5579: error 480.045805, percentage 3.43%
Classifier[24] iteration 5580: error 480.045010, percentage 3.43%
Classifier[24] iteration 5581: error 480.044215, percentage 3.43%
Classifier[24] iteration 5582: error 480.043421, percentage 3.43%
Classifier[24] iteration 5583: error 480.042628, percentage 3.43%
Classifier[24] iteration 5584: error 480.041835, percentage 3.43%
Classifier[24] iteration 5585: error 480.041042, percentage 3.43%
Classifier[24] iteration 5586: error 480.040251, percentage 3.43%
Classifier[24] iteration 5587: error 480.039459, percentage 3.43%
Classifier[24] iteration 5588: error 480.038668, percentage 3.43%
Classifier[24] iteration 5589: error 480.037878, percentage 3.43%
Classifier[24] iteration 5590: error 480.037088, percentage 3.43%
Classifier[24] iteration 5591: error 480.036299, percentage 3.43%
Classifier[24] iteration 5592: error 480.035511, percentage 3.43%
Classifier[24] iteration 5593: error 480.034723, percentage 3.43%
Classifier[24] iteration 5594: error 480.033935, percentage 3.43%
Classifier[24] iteration 5595: error 480.033148, percentage 3.43%
Classifier[24] iteration 5596: error 480.032362, percentage 3.43%
Classifier[24] iteration 5597: error 480.031576, percentage 3.43%
Classifier[24] iteration 5598: error 480.030791, percentage 3.43%
Classifier[24] iteration 5599: error 480.030006, percentage 3.43%
Classifier[24] iteration 5600: error 480.029222, percentage 3.43%
Classifier[24] iteration 5601: error 480.028438, percentage 3.43%
Classifier[24] iteration 5602: error 480.027655, percentage 3.43%
Classifier[24] iteration 5603: error 480.026873, percentage 3.43%
Classifier[24] iteration 5604: error 480.026091, percentage 3.43%
Classifier[24] iteration 5605: error 480.025309, percentage 3.43%
Classifier[24] iteration 5606: error 480.024528, percentage 3.43%
Classifier[24] iteration 5607: error 480.023748, percentage 3.43%
Classifier[24] iteration 5608: error 480.022968, percentage 3.43%
Classifier[24] iteration 5609: error 480.022189, percentage 3.43%
Classifier[24] iteration 5610: error 480.021410, percentage 3.43%
Classifier[24] iteration 5611: error 480.020632, percentage 3.43%
Classifier[24] iteration 5612: error 480.019854, percentage 3.43%
Classifier[24] iteration 5613: error 480.019077, percentage 3.43%
Classifier[24] iteration 5614: error 480.018300, percentage 3.43%
Classifier[24] iteration 5615: error 480.017524, percentage 3.43%
Classifier[24] iteration 5616: error 480.016749, percentage 3.43%
Classifier[24] iteration 5617: error 480.015974, percentage 3.43%
Classifier[24] iteration 5618: error 480.015199, percentage 3.43%
Classifier[24] iteration 5619: error 480.014426, percentage 3.43%
Classifier[24] iteration 5620: error 480.013652, percentage 3.43%
Classifier[24] iteration 5621: error 480.012879, percentage 3.43%
Classifier[24] iteration 5622: error 480.012107, percentage 3.43%
Classifier[24] iteration 5623: error 480.011335, percentage 3.43%
Classifier[24] iteration 5624: error 480.010564, percentage 3.43%
Classifier[24] iteration 5625: error 480.009793, percentage 3.43%
Classifier[24] iteration 5626: error 480.009023, percentage 3.43%
Classifier[24] iteration 5627: error 480.008254, percentage 3.43%
Classifier[24] iteration 5628: error 480.007485, percentage 3.43%
Classifier[24] iteration 5629: error 480.006716, percentage 3.43%
Classifier[24] iteration 5630: error 480.005948, percentage 3.43%
Classifier[24] iteration 5631: error 480.005181, percentage 3.43%
Classifier[24] iteration 5632: error 480.004414, percentage 3.43%
Classifier[24] iteration 5633: error 480.003647, percentage 3.43%
Classifier[24] iteration 5634: error 480.002882, percentage 3.43%
Classifier[24] iteration 5635: error 480.002116, percentage 3.43%
Classifier[24] iteration 5636: error 480.001352, percentage 3.43%
Classifier[24] iteration 5637: error 480.000587, percentage 3.43%
Classifier[24] iteration 5638: error 479.999824, percentage 3.43%
Classifier[24] iteration 5639: error 479.999060, percentage 3.43%
Classifier[24] iteration 5640: error 479.998298, percentage 3.43%
Classifier[24] iteration 5641: error 479.997536, percentage 3.43%
Classifier[24] iteration 5642: error 479.996774, percentage 3.43%
Classifier[24] iteration 5643: error 479.996013, percentage 3.43%
Classifier[24] iteration 5644: error 479.995252, percentage 3.43%
Classifier[24] iteration 5645: error 479.994492, percentage 3.43%
Classifier[24] iteration 5646: error 479.993733, percentage 3.43%
Classifier[24] iteration 5647: error 479.992974, percentage 3.43%
Classifier[24] iteration 5648: error 479.992215, percentage 3.43%
Classifier[24] iteration 5649: error 479.991457, percentage 3.43%
Classifier[24] iteration 5650: error 479.990700, percentage 3.43%
Classifier[24] iteration 5651: error 479.989943, percentage 3.43%
Classifier[24] iteration 5652: error 479.989187, percentage 3.43%
Classifier[24] iteration 5653: error 479.988431, percentage 3.43%
Classifier[24] iteration 5654: error 479.987676, percentage 3.43%
Classifier[24] iteration 5655: error 479.986921, percentage 3.43%
Classifier[24] iteration 5656: error 479.986167, percentage 3.43%
Classifier[24] iteration 5657: error 479.985413, percentage 3.43%
Classifier[24] iteration 5658: error 479.984660, percentage 3.43%
Classifier[24] iteration 5659: error 479.983907, percentage 3.43%
Classifier[24] iteration 5660: error 479.983155, percentage 3.43%
Classifier[24] iteration 5661: error 479.982404, percentage 3.43%
Classifier[24] iteration 5662: error 479.981652, percentage 3.43%
Classifier[24] iteration 5663: error 479.980902, percentage 3.43%
Classifier[24] iteration 5664: error 479.980152, percentage 3.43%
Classifier[24] iteration 5665: error 479.979402, percentage 3.43%
Classifier[24] iteration 5666: error 479.978653, percentage 3.43%
Classifier[24] iteration 5667: error 479.977905, percentage 3.43%
Classifier[24] iteration 5668: error 479.977157, percentage 3.43%
Classifier[24] iteration 5669: error 479.976409, percentage 3.43%
Classifier[24] iteration 5670: error 479.975662, percentage 3.43%
Classifier[24] iteration 5671: error 479.974916, percentage 3.43%
Classifier[24] iteration 5672: error 479.974170, percentage 3.43%
Classifier[24] iteration 5673: error 479.973425, percentage 3.43%
Classifier[24] iteration 5674: error 479.972680, percentage 3.43%
Classifier[24] iteration 5675: error 479.971935, percentage 3.43%
Classifier[24] iteration 5676: error 479.971192, percentage 3.43%
Classifier[24] iteration 5677: error 479.970448, percentage 3.43%
Classifier[24] iteration 5678: error 479.969706, percentage 3.43%
Classifier[24] iteration 5679: error 479.968963, percentage 3.43%
Classifier[24] iteration 5680: error 479.968221, percentage 3.43%
Classifier[24] iteration 5681: error 479.967480, percentage 3.43%
Classifier[24] iteration 5682: error 479.966739, percentage 3.43%
Classifier[24] iteration 5683: error 479.965999, percentage 3.43%
Classifier[24] iteration 5684: error 479.965259, percentage 3.43%
Classifier[24] iteration 5685: error 479.964520, percentage 3.43%
Classifier[24] iteration 5686: error 479.963782, percentage 3.43%
Classifier[24] iteration 5687: error 479.963043, percentage 3.43%
Classifier[24] iteration 5688: error 479.962306, percentage 3.43%
Classifier[24] iteration 5689: error 479.961569, percentage 3.43%
Classifier[24] iteration 5690: error 479.960832, percentage 3.43%
Classifier[24] iteration 5691: error 479.960096, percentage 3.43%
Classifier[24] iteration 5692: error 479.959360, percentage 3.43%
Classifier[24] iteration 5693: error 479.958625, percentage 3.43%
Classifier[24] iteration 5694: error 479.957890, percentage 3.43%
Classifier[24] iteration 5695: error 479.957156, percentage 3.43%
Classifier[24] iteration 5696: error 479.956423, percentage 3.43%
Classifier[24] iteration 5697: error 479.955690, percentage 3.43%
Classifier[24] iteration 5698: error 479.954957, percentage 3.43%
Classifier[24] iteration 5699: error 479.954225, percentage 3.43%
Classifier[24] iteration 5700: error 479.953493, percentage 3.43%
Classifier[24] iteration 5701: error 479.952762, percentage 3.43%
Classifier[24] iteration 5702: error 479.952032, percentage 3.43%
Classifier[24] iteration 5703: error 479.951302, percentage 3.43%
Classifier[24] iteration 5704: error 479.950572, percentage 3.43%
Classifier[24] iteration 5705: error 479.949843, percentage 3.43%
Classifier[24] iteration 5706: error 479.949115, percentage 3.43%
Classifier[24] iteration 5707: error 479.948387, percentage 3.43%
Classifier[24] iteration 5708: error 479.947659, percentage 3.43%
Classifier[24] iteration 5709: error 479.946932, percentage 3.43%
Classifier[24] iteration 5710: error 479.946206, percentage 3.43%
Classifier[24] iteration 5711: error 479.945480, percentage 3.43%
Classifier[24] iteration 5712: error 479.944754, percentage 3.43%
Classifier[24] iteration 5713: error 479.944029, percentage 3.43%
Classifier[24] iteration 5714: error 479.943305, percentage 3.43%
Classifier[24] iteration 5715: error 479.942581, percentage 3.43%
Classifier[24] iteration 5716: error 479.941857, percentage 3.43%
Classifier[24] iteration 5717: error 479.941134, percentage 3.43%
Classifier[24] iteration 5718: error 479.940412, percentage 3.43%
Classifier[24] iteration 5719: error 479.939690, percentage 3.43%
Classifier[24] iteration 5720: error 479.938968, percentage 3.43%
Classifier[24] iteration 5721: error 479.938247, percentage 3.43%
Classifier[24] iteration 5722: error 479.937527, percentage 3.43%
Classifier[24] iteration 5723: error 479.936807, percentage 3.43%
Classifier[24] iteration 5724: error 479.936087, percentage 3.43%
Classifier[24] iteration 5725: error 479.935368, percentage 3.43%
Classifier[24] iteration 5726: error 479.934650, percentage 3.43%
Classifier[24] iteration 5727: error 479.933932, percentage 3.43%
Classifier[24] iteration 5728: error 479.933214, percentage 3.43%
Classifier[24] iteration 5729: error 479.932497, percentage 3.43%
Classifier[24] iteration 5730: error 479.931781, percentage 3.43%
Classifier[24] iteration 5731: error 479.931065, percentage 3.43%
Classifier[24] iteration 5732: error 479.930349, percentage 3.43%
Classifier[24] iteration 5733: error 479.929634, percentage 3.43%
Classifier[24] iteration 5734: error 479.928919, percentage 3.43%
Classifier[24] iteration 5735: error 479.928205, percentage 3.43%
Classifier[24] iteration 5736: error 479.927492, percentage 3.43%
Classifier[24] iteration 5737: error 479.926779, percentage 3.43%
Classifier[24] iteration 5738: error 479.926066, percentage 3.43%
Classifier[24] iteration 5739: error 479.925354, percentage 3.43%
Classifier[24] iteration 5740: error 479.924642, percentage 3.43%
Classifier[24] iteration 5741: error 479.923931, percentage 3.43%
Classifier[24] iteration 5742: error 479.923221, percentage 3.43%
Classifier[24] iteration 5743: error 479.922511, percentage 3.43%
Classifier[24] iteration 5744: error 479.921801, percentage 3.43%
Classifier[24] iteration 5745: error 479.921092, percentage 3.43%
Classifier[24] iteration 5746: error 479.920383, percentage 3.43%
Classifier[24] iteration 5747: error 479.919675, percentage 3.43%
Classifier[24] iteration 5748: error 479.918967, percentage 3.43%
Classifier[24] iteration 5749: error 479.918260, percentage 3.43%
Classifier[24] iteration 5750: error 479.917554, percentage 3.43%
Classifier[24] iteration 5751: error 479.916847, percentage 3.43%
Classifier[24] iteration 5752: error 479.916142, percentage 3.43%
Classifier[24] iteration 5753: error 479.915436, percentage 3.43%
Classifier[24] iteration 5754: error 479.914732, percentage 3.43%
Classifier[24] iteration 5755: error 479.914027, percentage 3.43%
Classifier[24] iteration 5756: error 479.913324, percentage 3.43%
Classifier[24] iteration 5757: error 479.912620, percentage 3.43%
Classifier[24] iteration 5758: error 479.911918, percentage 3.43%
Classifier[24] iteration 5759: error 479.911215, percentage 3.43%
Classifier[24] iteration 5760: error 479.910513, percentage 3.43%
Classifier[24] iteration 5761: error 479.909812, percentage 3.43%
Classifier[24] iteration 5762: error 479.909111, percentage 3.43%
Classifier[24] iteration 5763: error 479.908411, percentage 3.43%
Classifier[24] iteration 5764: error 479.907711, percentage 3.43%
Classifier[24] iteration 5765: error 479.907012, percentage 3.43%
Classifier[24] iteration 5766: error 479.906313, percentage 3.43%
Classifier[24] iteration 5767: error 479.905614, percentage 3.43%
Classifier[24] iteration 5768: error 479.904916, percentage 3.43%
Classifier[24] iteration 5769: error 479.904219, percentage 3.43%
Classifier[24] iteration 5770: error 479.903522, percentage 3.43%
Classifier[24] iteration 5771: error 479.902825, percentage 3.43%
Classifier[24] iteration 5772: error 479.902129, percentage 3.43%
Classifier[24] iteration 5773: error 479.901434, percentage 3.43%
Classifier[24] iteration 5774: error 479.900739, percentage 3.43%
Classifier[24] iteration 5775: error 479.900044, percentage 3.43%
Classifier[24] iteration 5776: error 479.899350, percentage 3.43%
Classifier[24] iteration 5777: error 479.898656, percentage 3.43%
Classifier[24] iteration 5778: error 479.897963, percentage 3.43%
Classifier[24] iteration 5779: error 479.897270, percentage 3.43%
Classifier[24] iteration 5780: error 479.896578, percentage 3.43%
Classifier[24] iteration 5781: error 479.895887, percentage 3.43%
Classifier[24] iteration 5782: error 479.895195, percentage 3.43%
Classifier[24] iteration 5783: error 479.894504, percentage 3.43%
Classifier[24] iteration 5784: error 479.893814, percentage 3.43%
Classifier[24] iteration 5785: error 479.893124, percentage 3.43%
Classifier[24] iteration 5786: error 479.892435, percentage 3.43%
Classifier[24] iteration 5787: error 479.891746, percentage 3.43%
Classifier[24] iteration 5788: error 479.891058, percentage 3.43%
Classifier[24] iteration 5789: error 479.890370, percentage 3.43%
Classifier[24] iteration 5790: error 479.889682, percentage 3.43%
Classifier[24] iteration 5791: error 479.888995, percentage 3.43%
Classifier[24] iteration 5792: error 479.888309, percentage 3.43%
Classifier[24] iteration 5793: error 479.887623, percentage 3.43%
Classifier[24] iteration 5794: error 479.886937, percentage 3.43%
Classifier[24] iteration 5795: error 479.886252, percentage 3.43%
Classifier[24] iteration 5796: error 479.885568, percentage 3.43%
Classifier[24] iteration 5797: error 479.884883, percentage 3.43%
Classifier[24] iteration 5798: error 479.884200, percentage 3.43%
Classifier[24] iteration 5799: error 479.883517, percentage 3.43%
Classifier[24] iteration 5800: error 479.882834, percentage 3.43%
Classifier[24] iteration 5801: error 479.882152, percentage 3.43%
Classifier[24] iteration 5802: error 479.881470, percentage 3.43%
Classifier[24] iteration 5803: error 479.880789, percentage 3.43%
Classifier[24] iteration 5804: error 479.880108, percentage 3.43%
Classifier[24] iteration 5805: error 479.879427, percentage 3.43%
Classifier[24] iteration 5806: error 479.878747, percentage 3.43%
Classifier[24] iteration 5807: error 479.878068, percentage 3.43%
Classifier[24] iteration 5808: error 479.877389, percentage 3.43%
Classifier[24] iteration 5809: error 479.876710, percentage 3.43%
Classifier[24] iteration 5810: error 479.876032, percentage 3.43%
Classifier[24] iteration 5811: error 479.875355, percentage 3.43%
Classifier[24] iteration 5812: error 479.874678, percentage 3.43%
Classifier[24] iteration 5813: error 479.874001, percentage 3.43%
Classifier[24] iteration 5814: error 479.873325, percentage 3.43%
Classifier[24] iteration 5815: error 479.872649, percentage 3.43%
Classifier[24] iteration 5816: error 479.871974, percentage 3.43%
Classifier[24] iteration 5817: error 479.871299, percentage 3.43%
Classifier[24] iteration 5818: error 479.870625, percentage 3.43%
Classifier[24] iteration 5819: error 479.869951, percentage 3.43%
Classifier[24] iteration 5820: error 479.869278, percentage 3.43%
Classifier[24] iteration 5821: error 479.868605, percentage 3.43%
Classifier[24] iteration 5822: error 479.867932, percentage 3.43%
Classifier[24] iteration 5823: error 479.867260, percentage 3.43%
Classifier[24] iteration 5824: error 479.866589, percentage 3.43%
Classifier[24] iteration 5825: error 479.865918, percentage 3.43%
Classifier[24] iteration 5826: error 479.865247, percentage 3.43%
Classifier[24] iteration 5827: error 479.864577, percentage 3.43%
